"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"FCI_SD_SOCKET";"SD-MMC_SOCKET-PP";"U$1";"FCI Memory Card Connector (SD card)";"";
"1";"";"KXO-TCXO-CMOS-82";"7.0X5.0_KXO-82-TCXO";"Q1";"TCXO :";"";
"1";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED2";"LED";"";
"1";"";"MD06SS";"MDIN06SS";"PS/2";"YAMAICHI CONNECTOR";"";
"1";"";"PINHD-1X4";"1X04";"JP4";"PIN HEADER";"";
"1";"";"PINHD-1X7";"1X07";"JP2";"PIN HEADER";"";
"1";"";"PINHD-2X6";"2X06";"JP1";"PIN HEADER";"";
"1";"";"PINHD-2X8";"2X08";"JP3";"PIN HEADER";"";
"1";"";"SHIELDED_CRYSTAL_TSX-3225";"TSX-3225";"X1";"";"";
"1";"";"USB""";"USB-MICRO-SMD";"U2";"This is a USB AB connector that is compatible with USB OTG. i.e. this connector can serve as a host or device";"";
"1";"";"V_REG_LM1117SOT223";"SOT223";"IC4";"Voltage Regulator LM1117";"";
"1";"10";"R-EU_R0603";"R0603";"R11";"RESISTOR, European symbol";"";
"16";"100nF";"C-EUC0603";"C0603";"C1, C2, C3, C4, C6, C7, C9, C10, C11, C13, C14, C15, C26, C27, C28, C29";"CAPACITOR, European symbol";"";
"2";"100uF";"CAP_POL7343";"EIA7343";"C24, C25";"Capacitor Polarized";"";
"8";"10K";"R-EU_R0603";"R0603";"R18, R19, R20, R21, R22, R25, R26, R46";"RESISTOR, European symbol";"";
"4";"10nF";"C-EUC0603";"C0603";"C16, C19, C20, C23";"CAPACITOR, European symbol";"";
"5";"10uF";"C-EUC0805";"C0805";"C5, C8, C12, C21, C22";"CAPACITOR, European symbol";"";
"6";"115";"R-EU_R0603";"R0603";"R33, R37, R38, R42, R43, R44";"RESISTOR, European symbol";"";
"2";"18pF";"C-EUC0603";"C0603";"C17, C18";"CAPACITOR, European symbol";"";
"1";"19-237/R6GHBHC-A04/2T";"19-237/R6GHBHC-A04/2T";"19-237/R6GHBHC-A04/2T";"LED1";"";"";
"5";"1K";"R-EU_R0603";"R0603";"R6, R8, R9, R10, R27";"RESISTOR, European symbol";"";
"1";"1M";"R-EU_R0603";"R0603";"R12";"RESISTOR, European symbol";"";
"1";"1k5";"R-EU_R0603";"R0603";"R5";"RESISTOR, European symbol";"";
"2";"200";"R-EU_R0603";"R0603";"R23, R24";"RESISTOR, European symbol";"";
"8";"230";"R-EU_R0603";"R0603";"R32, R34, R35, R36, R39, R40, R41, R45";"RESISTOR, European symbol";"";
"2";"27";"R-EU_R0603";"R0603";"R3, R4";"RESISTOR, European symbol";"";
"3";"4.7K";"R-EU_R0603";"R0603";"R1, R2, R14";"RESISTOR, European symbol";"";
"2";"470";"R-EU_R0603";"R0603";"R7, R47";"RESISTOR, European symbol";"";
"4";"560";"R-EU_R0603";"R0603";"R28, R29, R30, R31";"RESISTOR, European symbol";"";
"1";"AUDIO-JACK2PTH";"AUDIO-JACK2PTH";"AUDIO-JACK";"AUDIO";"";"";
"4";"DNP";"R-EU_R0603";"R0603";"R13, R15, R16, R17";"RESISTOR, European symbol";"";
"1";"FT2232D";"FT2232D";"LQFP-48";"U$2";"";"";
"1";"GS2020CR-G";"GS2020CR-G";"GS2020CR";"U$3";"";"";
"1";"IS61WV102416BLL-10T";"IS61WV102416BLL-10T";"TSOP-I-48-12X40MM";"IC1";"1024k x 16 high- speed CMOS static RAM";"";
"1";"LCMXO2-7000HC-4TG144I";"LCMXO2-7000HC-4TG144I";"TQFP144";"U1";"";"";
"1";"SWITCH_6X6";"SWITCH_6X6";"SWITCH_6X6";"U$12";"";"";
"1";"TOBU3";"TOBU3";"TOBU3";"VIDEO";"Female Cinch CONNECTOR ( RCA Jack )";"";
"1";"W25Q32FV";"W25Q32FVSS";"SOIC-8";"U3";"W25Q32FV 32Mb (4MB) Serial Flash Memory";"";
